param1,param2,param3,lik
0.005,0.7,0.1,-144.8912012353112
0.005,0.7,0.15000000000000002,-140.61378635862786
0.005,0.7,0.2,-136.97568148281084
0.005,0.7,0.25,-137.0128576145533
0.005,0.7,0.30000000000000004,-135.53725423401914
0.005,0.7,0.35,-134.47819307272852
0.005,0.7,0.4,-134.12793284232805
0.005,0.7,0.45000000000000007,-135.7082448438211
0.005,0.7,0.5,-134.20661046818253
0.005,0.7,0.55,-134.93157730465748
0.005,0.7,0.6,-134.73979593056816
0.005,0.75,0.1,-158.41645194775418
0.005,0.75,0.15000000000000002,-139.3439435836022
0.005,0.75,0.2,-135.39510514016854
0.005,0.75,0.25,-136.23141639940417
0.005,0.75,0.30000000000000004,-135.6952650957536
0.005,0.75,0.35,-135.09446502838705
0.005,0.75,0.4,-135.45823349800764
0.005,0.75,0.45000000000000007,-133.98060435894155
0.005,0.75,0.5,-135.41506739682518
0.005,0.75,0.55,-134.8701038561378
0.005,0.75,0.6,-134.82103571506013
0.005,0.8,0.1,-149.22393153078417
0.005,0.8,0.15000000000000002,-137.66011578487092
0.005,0.8,0.2,-138.74670624545945
0.005,0.8,0.25,-135.25578791325933
0.005,0.8,0.30000000000000004,-134.9326516047006
0.005,0.8,0.35,-133.8692895683634
0.005,0.8,0.4,-134.24096499285196
0.005,0.8,0.45000000000000007,-134.99644117646233
0.005,0.8,0.5,-134.17916151086757
0.005,0.8,0.55,-135.27998637829882
0.005,0.8,0.6,-134.66594226918687
0.005,0.8500000000000001,0.1,-143.42580401745727
0.005,0.8500000000000001,0.15000000000000002,-136.50444080519702
0.005,0.8500000000000001,0.2,-134.98904994240155
0.005,0.8500000000000001,0.25,-134.60186791151978
0.005,0.8500000000000001,0.30000000000000004,-134.15798237919546
0.005,0.8500000000000001,0.35,-135.29360385274936
0.005,0.8500000000000001,0.4,-134.09119823305986
0.005,0.8500000000000001,0.45000000000000007,-134.4537849860074
0.005,0.8500000000000001,0.5,-134.89516856575636
0.005,0.8500000000000001,0.55,-134.88300478537622
0.005,0.8500000000000001,0.6,-135.557752232283
0.005,0.9,0.1,-144.28039620445742
0.005,0.9,0.15000000000000002,-137.4112737477663
0.005,0.9,0.2,-134.7703592454145
0.005,0.9,0.25,-134.35650029514477
0.005,0.9,0.30000000000000004,-133.52685530042072
0.005,0.9,0.35,-134.07319704863903
0.005,0.9,0.4,-134.41885415203404
0.005,0.9,0.45000000000000007,-134.9840674722126
0.005,0.9,0.5,-134.49580972118468
0.005,0.9,0.55,-135.1044544856386
0.005,0.9,0.6,-134.463115728721
0.005,0.95,0.1,-146.64653594907958
0.005,0.95,0.15000000000000002,-139.1963455289423
0.005,0.95,0.2,-135.92796757932575
0.005,0.95,0.25,-133.99598512932437
0.005,0.95,0.30000000000000004,-134.45818964426462
0.005,0.95,0.35,-134.230941984722
0.005,0.95,0.4,-134.28938544390599
0.005,0.95,0.45000000000000007,-134.64350931649938
0.005,0.95,0.5,-134.15612884650614
0.005,0.95,0.55,-134.89399110085577
0.005,0.95,0.6,-134.9227899653281
0.005,1,0.1,-149.20450763018084
0.005,1,0.15000000000000002,-137.51549494530695
0.005,1,0.2,-137.10817215908037
0.005,1,0.25,-133.81211451835384
0.005,1,0.30000000000000004,-132.81976941727066
0.005,1,0.35,-133.9945097360566
0.005,1,0.4,-134.1682806480493
0.005,1,0.45000000000000007,-134.0993705994286
0.005,1,0.5,-134.2338571412397
0.005,1,0.55,-134.73457270339463
0.005,1,0.6,-134.2042684316013
0.006,0.5,0.1,-146.59278168632682
0.006,0.5,0.15000000000000002,-140.45111451057886
0.006,0.5,0.2,-138.67502380432825
0.006,0.5,0.25,-138.93385987570684
0.006,0.5,0.30000000000000004,-136.173268633558
0.006,0.5,0.35,-136.92642853929408
0.006,0.5,0.4,-136.83874529909866
0.006,0.5,0.45000000000000007,-135.8529350802345
0.006,0.5,0.5,-137.11624837502302
0.006,0.5,0.55,-135.41159907963578
0.006,0.5,0.6,-135.69409045239905
0.006,0.55,0.1,-144.60590129888487
