param1,param2,lik
0.026000000000000002,0.8500000000000001,-287.4623885223961
0.026000000000000002,0.875,-288.12676225791034
0.026000000000000002,0.9,-287.2347114840123
0.026000000000000002,0.925,-287.2867948849494
0.026000000000000002,0.95,-287.1492667359935
0.026000000000000002,0.9750000000000001,-287.14623290560525
0.026000000000000002,1,-287.5524165093108
0.028000000000000004,0.5,-294.9001666574185
0.028000000000000004,0.525,-293.0699901776336
0.028000000000000004,0.55,-293.0126681078738
0.028000000000000004,0.575,-291.8586406831061
0.028000000000000004,0.6,-292.4195008715671
0.028000000000000004,0.625,-292.5433343370244
0.028000000000000004,0.65,-291.74951004577264
0.028000000000000004,0.675,-291.38054871208294
0.028000000000000004,0.7,-Inf
0.028000000000000004,0.725,-290.54873532918253
0.028000000000000004,0.75,-290.24130353457014
0.028000000000000004,0.775,-290.83832902058623
0.028000000000000004,0.8,-289.4419622055723
0.028000000000000004,0.825,-288.7202788299715
0.028000000000000004,0.8500000000000001,-289.00856614932513
0.028000000000000004,0.875,-289.981900842892
0.028000000000000004,0.9,-287.9626498444333
0.028000000000000004,0.925,-288.6615980617056
0.028000000000000004,0.95,-288.523401027818
0.028000000000000004,0.9750000000000001,-288.4117865460715
0.028000000000000004,1,-288.4449979721694
0.03,0.5,-295.2211619435305
0.03,0.525,-294.3545410673526
0.03,0.55,-Inf
0.03,0.575,-293.8651338580786
0.03,0.6,-293.2647594134263
0.03,0.625,-291.60460769767457
0.03,0.65,-291.88586397939076
0.03,0.675,-292.28200232495345
0.03,0.7,-290.9608147896085
0.03,0.725,-289.59368868787163
0.03,0.75,-291.8766044417971
0.03,0.775,-290.64137607321186
0.03,0.8,-291.09715859466525
0.03,0.825,-289.6420512015642
0.03,0.8500000000000001,-289.1525932263046
0.03,0.875,-288.5994703007853
0.03,0.9,-289.9521882008005
0.03,0.925,-289.76531283569994
0.03,0.95,-289.2980914277149
0.03,0.9750000000000001,-289.21927073725436
0.03,1,-289.3580292821249
